Country, Head of State Title,Head of State Name, Head of Government Title,Head of Government Name
San Marino,Captain Regent, Michele Muratori,,
So Tom and Prncipe,President, Evaristo Carvalho,Prime Minister, Jorge Bom Jesus
Saudi Arabia,King, Salman,Prime Minister, Salman
Saudi Arabia,First Deputy Prime Minister, Mohammad bin Salman,,
Senegal,President, Macky Sall,,
Serbia,President, Aleksandar Vui,Prime Minister, Ana Brnabi
Seychelles,President, Danny Faure,,
Sierra Leone,President, Julius Maada Bio,Chief Minister , David J. Francis
Singapore,President, Halimah Yacob,Prime Minister, Lee Hsien Loong
Slovakia,President, Zuzana aputov,Prime Minister, Peter Pellegrini
Slovenia,President, Borut Pahor,Prime Minister, Marjan arec
Solomon Islands,Governor-General, Sir David Vunagi,Prime Minister, Manasseh Sogavare
Somalia,President, Mohamed Abdullahi Mohamed,Prime Minister, Hassan Ali Khayre
South Africa,President, Cyril Ramaphosa,,
South Korea,President, Moon Jae-in,Prime Minister, Lee Nak-yeon
South Sudan,President, Salva Kiir Mayardit,,
Spain,Spain Government, Pedro Snchez,,
Sri Lanka,President, Maithripala Sirisena,Prime Minister, Ranil Wickremesinghe
Sudan,Sudan Sovereignty Council, Abdel Fattah al-Burhan,Prime Minister, Abdalla Hamdok
Suriname,President, Dsi Bouterse,,
Sweden,King, Carl XVI Gustaf,Prime Minister, Stefan Lfven
Switzerland,Federal Council,Ueli Maurer,,
Switzerland,Federal Council,Simonetta Sommaruga (as Vice President),,
Syria,President, Bashar al-Assad,Prime Minister, Imad Khamis
Tajikistan,President, Emomali Rahmon,Prime Minister, Kokhir Rasulzoda
Tanzania,President, John Magufuli,Prime Minister, Kassim Majaliwa
Thailand,King, Maha Vajiralongkorn,Prime Minister, Prayut Chan-o-cha
Togo,President, Faure Gnassingb,Prime Minister, Komi Slom Klassou
Tonga,King, Tupou VI,Acting Prime Minister, Semisi Sika
Trinidad and Tobago,President, Paula-Mae Weekes,Prime Minister, Keith Rowley
Tunisia,Acting President, Mohamed Ennaceur,Head of Government, Youssef Chahed
Turkey,President, Recep Tayyip Erdoan,,
Turkmenistan,President, Gurbanguly Berdimuhamedow,,
Tuvalu,Governor-General, Sir Iakoba Italeli,Prime Minister, Enele Sopoaga
Uganda,President, Yoweri Museveni,Prime Minister, Ruhakana Rugunda
Ukraine,President, Volodymyr Zelensky,Prime Minister, Oleksiy Honcharuk
United Arab Emirates,President, Sheikh Khalifa bin Zayed Al Nahyan,Prime Minister, Sheikh Mohammed bin Rashid Al Maktoum
United Kingdom,Queen, Elizabeth II,Prime Minister, Boris Johnson
United States,President, Donald Trump,,
Uruguay,President, Tabar Vzquez,,
Uzbekistan,President, Shavkat Mirziyoyev,Prime Minister, Abdulla Aripov
Vanuatu,President, Tallis Obed Moses,Prime Minister, Charlot Salwai
Vatican City,Vatican City Governorate, Cardinal Giuseppe Bertello,,
Venezuela,President, Nicols Maduro,,
Vietnam,Vietnam Communist Party, Nguyn Ph Trng,,
Vietnam,President, Nguyn Ph Trng,Prime Minister, Nguyn Xun Phc
Yemen,President, Abdrabbuh Mansur Hadi,Prime Minister, Maeen Abdulmalik Saeed
Zambia,President, Edgar Lungu,,
Zimbabwe,President, Emmerson Mnangagwa,,
